"index","type","start","end","text"
"0","cue","00:01:01,675","00:01:04,133","<i>Dan selagi ada keributanbaku tembak di Tanah Suci,</i>"
"1","cue","00:01:04,266","00:01:05,835","<i>ada sorakan di Washington</i>"
"2","cue","00:01:05,968","00:01:07,703","<i>dan tarian kegembiraan Ibrani</i>"
"3","cue","00:01:07,836","00:01:10,875","<i>untuk tanah air Yahudiyang telah terlahir kembali.</i>"
"4","cue","00:01:19,213","00:01:20,850","<i>Pasukan Haganah mencari orang Arab</i>"
"5","cue","00:01:20,984","00:01:22,484","<i>setelah merebut kota.</i>"
"6","cue","00:01:45,842","00:01:47,645","<i>Lebih dari 4.000 warga Palestina</i>"
"7","cue","00:01:47,777","00:01:49,679","<i>telah dipaksauntuk meninggalkan rumah mereka.</i>"
"8","cue","00:01:49,813","00:01:52,548","<i>Perjalanan mereka sebagai pengungsibaru saja dimulai.</i>"
"9","cue","00:01:59,321","00:02:02,025","<i>Diplomasi intensifnegosiasi di Timur Tengah</i>"
"10","cue","00:02:02,157","00:02:03,560","<i>dilanjutkan hari ini di Washington</i>"
"11","cue","00:02:03,693","00:02:05,663","<i>sebagai Perdana Menteri Israel,Golda Meir,</i>"
"12","cue","00:02:05,796","00:02:07,664","<i>bertemu dengan Presiden Nixondi Gedung Putih</i>"
"13","cue","00:02:07,797","00:02:08,965","<i>selama 80 menit.</i>"
"14","cue","00:02:09,099","00:02:11,001","<i>Ini sangat istimewa bagi saya,</i>"
"15","cue","00:02:11,133","00:02:13,837","<i>berbicara atas namadari rakyat Amerika...</i>"
"16","cue","00:02:18,876","00:02:22,113","<i>Aku tidak mengetahui pembobolan Watergate.</i>"
"17","cue","00:05:00,606","00:05:02,876","Selamat pagi,Nyonya Perdana Menteri."
"18","cue","00:05:03,544","00:05:04,745","Selamat pagi."
"19","cue","00:05:12,484","00:05:13,787","Tolong bersumpah."
"20","cue","00:05:18,959","00:05:21,795","Aku bersumpah untuk mengatakan yang sebenarnya,semua kebenaran,"
"21","cue","00:05:21,929","00:05:24,463","mengetahui bahwa aku akan dikenakan hukuman"
"22","cue","00:05:24,598","00:05:27,100","dan di hukum jika aku tidak melakukannya."
"23","cue","00:05:37,978","00:05:40,446","Nyonya Perdana Menteri."
"24","cue","00:05:40,581","00:05:45,919","Mari kita mulai dengan5 Oktober 1973."
"25","cue","00:06:02,102","00:06:03,137","Ya"
"26","cue","00:06:06,006","00:06:07,975","Gunakan jari yang saya tunjukkan."
"27","cue","00:06:13,680","00:06:16,751","Sekolah Finchley Timur,Nyonya Epstein berbicara."
"28","cue","00:06:16,885","00:06:18,553","<i>Ini Ahli Kimia.</i>"
"29","cue","00:06:23,358","00:06:25,425","Ini Kepala Kantor Pos.Teruskan."
"30","cue","00:06:26,060","00:06:27,862","<i>Seng. Kadmium.</i>"
"31","cue","00:06:28,462","00:06:31,165","<i>Klorin. Hidrogen.</i>"
"32","cue","00:06:34,736","00:06:37,773","- Halo?<i>- Ini Kepala Kantor Pos.</i>"
"33","cue","00:06:38,773","00:06:41,744","Ini Tukang Roti. Teruskan."
"34","cue","00:06:43,211","00:06:48,082","<i>Seng. Kadmium.Klorin. Hidrogen.</i>"
"35","cue","00:06:55,423","00:06:58,894","Keluarkan pernyataanmengungkapkan kekecewaanku"
"36","cue","00:06:59,028","00:07:02,263","pada penyerahan Austriakepada para teroris."
"37","cue","00:07:03,298","00:07:06,734","Kekecewaan,atau mungkin frustrasi?"
"38","cue","00:07:06,868","00:07:08,836","Ya, frustrasi. Itu lebih baik."
"39","cue","00:07:11,506","00:07:13,642","- Zvika.- Perdana Menteri."
"40","cue","00:07:15,945","00:07:18,347","Apa yang aku lakukan untuk kesenangan ini?"
"41","cue","00:07:18,479","00:07:21,050","Saya mendengar dari mata-mata saya,ahli kimia."
"42","cue","00:07:21,183","00:07:24,052","Dia ingin bertemu malam ini.Dia memperingatkan akan terjadinya perang."
"43","cue","00:07:26,255","00:07:27,656","Seperti yang dia lakukan pada bulan Mei."
"44","cue","00:07:28,357","00:07:29,725","Peringatan itu akurat."
"45","cue","00:07:29,858","00:07:33,029","Tangisan serigala.Begitulah yang dirasakan."
"46","cue","00:07:34,363","00:07:35,864","Mengapa Anda mempercayai pria ini?"
"47","cue","00:07:35,998","00:07:38,901","Dia tahu segalanyadan dia bilang perang akan datang."
"48","cue","00:07:39,034","00:07:41,870","Ya, tentu saja,perang akan datang, tapi kapan?"
"49","cue","00:07:44,505","00:07:48,278","Tanpa dukungan Dayan,tidak ada mobilisasi"
"50","cue","00:07:48,411","00:07:52,081","dan dia tidak yakinbahwa ancamannya sudah dekat."
"51","cue","00:07:52,915","00:07:55,685","Jika dia mengundurkan diri,pemerintah jatuh."
"52","cue","00:07:55,819","00:07:57,186","Sesederhana itu."
"53","cue","00:07:57,319","00:07:59,488","Dan kemudian orang-orang Arabpasti akan menyerang."
"54","cue","00:07:59,622","00:08:01,123","Apa yang nalurimu katakan padamu?"
"55","cue","00:08:02,191","00:08:04,226","Naluriku bukan urusanmu."
"56","cue","00:08:05,462","00:08:06,763","Tetapi..."
"57","cue","00:08:08,131","00:08:09,132","Hmm."
"58","cue","00:08:10,667","00:08:12,235","Kamu benar.Ada sesuatu."
"59","cue","00:08:15,170","00:08:17,640","Mintalah pertemuan dengan Ahli Kimia,sebuah dokumen,"
"60","cue","00:08:17,774","00:08:19,908","sesuatu yang konkritAgar aku bisa memutuskan."
"61","cue","00:08:23,947","00:08:27,251","Saya pikir saya akan tinggal di Tel-Avivdengan anakku saat Hari Raya Kippur."
"62","cue","00:08:28,985","00:08:31,921","Setelah pertemuanmu,hubungi saya melalui jalur aman."
"63","cue","00:08:35,780","00:08:38,157","Bagi yang berpuasa,cuacanya akan menyenangkan."
"64","cue","00:08:38,282","00:08:39,867","Kami mendoakan semua orang di Israel"
"65","cue","00:08:39,992","00:08:42,703","cepat yang mudahdan G'Mar Chatima Tova."
"66","cue","00:08:42,828","00:08:46,750","Siaran kami akan dilanjutkanketika puasa berakhir."
"67","cue","00:08:52,142","00:08:53,410","Tidak ada yang melihatmu masuk,"
"68","cue","00:08:53,543","00:08:54,545","Nyonya Perdana Menteri."
"69","cue","00:08:54,678","00:08:56,113","- Mmm-hmm.- Semuanya jelas."
"70","cue","00:09:21,038","00:09:23,874","- Nyonya Perdana Menteri.- Dokter."
"71","cue","00:09:24,008","00:09:25,309","Saya tidak melihat adanya pertumbuhan baru."
"72","cue","00:09:25,443","00:09:28,748","Radiasi kobalttampaknya berfungsi."
"73","cue","00:09:28,879","00:09:31,649","Tapi rokoknyadan kopi hitam..."
"74","cue","00:09:31,782","00:09:33,451","Anda membuat pekerjaan sayajauh lebih sulit."
"75","cue","00:09:33,584","00:09:35,786","Dan kamu milikku."
"76","cue","00:09:36,987","00:09:39,057","Bisakah Anda mengaturpengobatan lain?"
"77","cue","00:09:39,191","00:09:41,493","- Apakah aku punya pilihan?- Tidak terlalu."
"78","cue","00:09:41,626","00:09:43,160","Limfoma ini bersifat agresif."
"79","cue","00:09:43,294","00:09:45,997","Pastikan dia makandan meminum obatnya."
"80","cue","00:09:54,138","00:09:56,908","aku mau kamuberjanji padaku satu hal."
"81","cue","00:09:57,042","00:10:01,713","Jika Anda mendeteksi sedikit puntanda demensia,"
"82","cue","00:10:02,781","00:10:04,316","kamu akan memberitahuku."
"83","cue","00:10:05,016","00:10:07,152","Saya tidak bisa mempercayai para penyanjung."
"84","cue","00:10:09,888","00:10:11,122","Saya berjanji."
"85","cue","00:10:12,224","00:10:14,726","Sekarang, Nyonya Perdana Menteri,bisakah saya memiliki ini?"
"86","cue","00:10:20,866","00:10:22,267","Terima kasih."
"87","cue","00:10:54,601","00:10:56,235","Ya?"
"88","cue","00:10:56,369","00:10:58,504","<i>- Aku berbicara dengan temanku.</i>- Dan?"
"89","cue","00:10:58,639","00:11:02,041","<i>Egyptian Airlines telah pindahkansemua pesawat mereka ke Tripoli.</i>"
"90","cue","00:11:02,175","00:11:05,343","<i>Pestanya akan dimulai hari ini,menjelang matahari terbenam.</i>"
"91","cue","00:11:05,877","00:11:07,246","Apakah kamu percaya padanya?"
"92","cue","00:11:08,549","00:11:09,749","<i>Ya.</i>"
"93","cue","00:11:11,450","00:11:13,353","Terima kasih."
"94","cue","00:11:57,565","00:12:00,067","- Baiklah, maaf, Nyonya.- Maaf tentang itu."
"95","cue","00:12:04,204","00:12:07,642","Marwan mengatakan serangan ituakan dimulai sekitar matahari terbenam."
"96","cue","00:12:07,774","00:12:10,978","Diplomat Soviet dan keluarga merekameninggalkan Mesir."
"97","cue","00:12:11,111","00:12:14,483","Jika dia benar, kita punyakurang dari 12 jam untuk mempersiapkannya."
"98","cue","00:12:14,618","00:12:16,083","Sadat membenci Rusia."
"99","cue","00:12:16,216","00:12:18,118","Ini bukan pertama kalinyadia mengusir mereka."
"100","cue","00:12:18,252","00:12:20,487","Mesir membutuhkan Rusia"
"101","cue","00:12:20,622","00:12:22,089","untuk mengoperasikan rudal SAM."
"102","cue","00:12:22,222","00:12:23,266","Kecuali mereka telah mengajari mereka yang mana"
"103","cue","00:12:23,290","00:12:24,759","tombol yang harus ditekan, tentu saja."
"104","cue","00:12:24,892","00:12:26,894","Segalanya mungkin."
"105","cue","00:12:27,028","00:12:29,396","Apakah orang Rusiameninggalkan Suriah juga?"
"106","cue","00:12:29,530","00:12:30,798","Saya belum mendengar apa pun."
"107","cue","00:12:30,932","00:12:32,267","Tunjukkan pada mereka fotonya, Benny."
"108","cue","00:12:32,400","00:12:35,202","Kami terbang melewati kanaltadi malam."
"109","cue","00:12:35,335","00:12:37,372","Kami belum pernah melihatpenumpukan seperti itu."
"110","cue","00:12:37,504","00:12:38,673","Tank, artileri,"
"111","cue","00:12:38,805","00:12:40,774","peralatan radio,ribuan pria."
"112","cue","00:12:42,043","00:12:43,444","Saya akui, angkanya,"
"113","cue","00:12:43,579","00:12:45,947","itu cukupuntuk memberimu stroke."
"114","cue","00:12:46,080","00:12:48,283","Apakah sistem penyadapandihidupkan?"
"115","cue","00:12:48,416","00:12:49,416","Ya."
"116","cue","00:12:50,285","00:12:52,420","- Apa yang kamu dengar?- Tidak ada apa-apa."
"117","cue","00:12:52,554","00:12:54,422","Kami menyadap jaringan Komandan mereka."
"118","cue","00:12:54,556","00:12:56,591","Jika Sadat memberisinyal untuk perang,"
"119","cue","00:12:56,724","00:12:57,724","kami pasti sudah mendengarnya."
"120","cue","00:12:57,825","00:12:59,127","Saat dia menepuk angin,"
"121","cue","00:12:59,260","00:13:00,729","Saya mendengarnya terlebih dahulu."
"122","cue","00:13:00,862","00:13:02,765","Jadi, Anda sudah melihat laporannyadari London?"
"123","cue","00:13:02,897","00:13:04,466","Marwan mengatakan hal serupa pada bulan Mei."
"124","cue","00:13:04,601","00:13:07,235","Tanpa pembom jarak jauh,setiap serangan Mesir akan gagal."
"125","cue","00:13:07,368","00:13:09,071","rencana Shazlymenyeberangi kanal,"
"126","cue","00:13:09,204","00:13:11,873","menggali di bawah payung rudal,lalu membuat kami kehabisan darah sampai mati."
"127","cue","00:13:12,006","00:13:13,726","Mereka tidak membutuhkanpembom jarak jauh untuk itu."
"128","cue","00:13:13,776","00:13:16,144","Mereka juga punya rencanauntuk menghancurkan perekonomian kita"
"129","cue","00:13:16,277","00:13:18,112","dengan memikat kami ke depanlagi dan lagi."
"130","cue","00:13:18,246","00:13:19,658","Orang Mesir dan Suriah hampir mencapainya"
"131","cue","00:13:19,682","00:13:22,585","satu juta orang di perbatasan kita.Kita harus bertindak."
"132","cue","00:13:22,719","00:13:24,720","Ayo. Mereka melakukan mobilisasidalam jumlah yang serupa"
"133","cue","00:13:24,852","00:13:26,322","dua puluh dua kalitahun ini saja."
"134","cue","00:13:26,455","00:13:28,590","Tentara yang ada bisa bertahanselama 48 jam,"
"135","cue","00:13:28,724","00:13:31,126","tapi cadangan akan dibutuhkantiga hari untuk mobilisasi."
"136","cue","00:13:31,260","00:13:32,595","Jika peringatan itu akurat,"
"137","cue","00:13:32,729","00:13:34,238","maka kita harus melakukanmobilisasi kemarin."
"138","cue","00:13:34,262","00:13:36,097","- Jika, jika!- Kami terkejut."
"139","cue","00:13:36,230","00:13:37,801","Kita harus menyerang sekarang."
"140","cue","00:13:37,966","00:13:40,169","tentara-tentaraku bersemangatdan duduk di kokpit mereka."
"141","cue","00:13:40,302","00:13:42,003","Beri aku kabardan aku akan menghancurkan mereka."
"142","cue","00:13:42,137","00:13:43,577","Saya tidak akan mendukungserangan pertama."
"143","cue","00:13:43,606","00:13:45,841","Mereka bahkan belum memberiisyarat untuk berperang."
"144","cue","00:13:45,974","00:13:48,077","Bagaimana denganmobilisasi sebagian saja?"
"145","cue","00:13:48,210","00:13:49,511","Enam puluh ribu tentara."
"146","cue","00:13:49,646","00:13:51,322","Lebih banyak lagi akan terlihatsebagai tindakan agresi."
"147","cue","00:13:51,346","00:13:54,684","- Aku butuh 200.000 tentara.- Enam puluh ribu atau 200.000 tentara,"
"148","cue","00:13:54,818","00:13:56,285","apa bedanya?"
"149","cue","00:13:56,418","00:13:59,055","Anda ingin memobilisasiYom Kippur, hari paling suci?"
"150","cue","00:13:59,189","00:14:01,957","Dampak politiknya akan terjadimenjatuhkan pemerintah."
"151","cue","00:14:02,091","00:14:05,196","Itulah alasannya menjadihari yang tepat untuk menyerang."
"152","cue","00:14:10,265","00:14:13,670","Saya sarankan kita melakukan mobilisasi120.000 tentara."
"153","cue","00:14:13,803","00:14:15,472","Lebih baik amandaripada menyesal, ya?"
"154","cue","00:14:15,606","00:14:18,141","Seratus dua puluh ribuorang tentara saja tidak cukup."
"155","cue","00:14:18,274","00:14:19,341","- Benar.- Tidak."
"156","cue","00:14:19,475","00:14:20,845","- Benar.- Salah."
"157","cue","00:14:20,977","00:14:22,088","Kami akan kalah jumlahtujuh banding satu."
"158","cue","00:14:22,112","00:14:24,313","Keputusan sudah diambil."
"159","cue","00:14:24,446","00:14:26,717","Seratus dua puluh ribu."
"160","cue","00:14:26,851","00:14:28,051","Terima kasih, Bapak bapak."
"161","cue","00:14:39,295","00:14:41,799","<i>Apakah kamu percayamata-mata Mesir, Marwan?</i>"
"162","cue","00:14:41,931","00:14:45,168","Saya khawatir dia mungkin sepertitentu saja agen ganda,"
"163","cue","00:14:45,301","00:14:49,439","tapi aku... aku percayakeputusan Zamir."
"164","cue","00:14:49,573","00:14:54,912","Jadi kenapa Anda tidak memobilisasicadanganmu pada tanggal 5?"
"165","cue","00:14:55,045","00:14:57,447","Pada hari itudia memperingatkanmu tentang perang?"
"166","cue","00:14:58,783","00:15:00,284","Dayan selalu waspada."
"167","cue","00:15:00,419","00:15:04,187","Dan dia tahu situasinyadi utara dan selatan."
"168","cue","00:15:07,558","00:15:09,894","Haruskah aku melawannya?"
"169","cue","00:15:10,026","00:15:11,563","Anda Perdana Menteri."
"170","cue","00:15:11,696","00:15:14,832","Dan tambahan 24 jamuntuk mempersiapkan perang,"
"171","cue","00:15:15,633","00:15:18,235","itu mungkin menyelamatkan banyak nyawa."
"172","cue","00:15:19,436","00:15:23,307","Ya, baiklah,itu pertanyaannya, bukan?"
"173","cue","00:15:54,171","00:15:55,440","Pagi sayang."
"174","cue","00:16:51,298","00:16:52,999","Saya mulai panik."
"175","cue","00:16:53,131","00:16:54,332","Saya membuat sup."
"176","cue","00:16:55,200","00:16:56,936","Tidak, aku akan memakannya nanti."
"177","cue","00:16:57,637","00:17:00,138","- Itu keduanya atau tidak keduanya.- Oke."
"178","cue","00:17:07,548","00:17:11,049","Semua tempat tutup.Aku mendapatkan ini dari bandara."
"179","cue","00:17:37,010","00:17:38,444","- Siap?- Hmm."
"180","cue","00:17:39,914","00:17:42,849","Di era saya, mereka berdirimenyambut Perdana Menteri."
"181","cue","00:17:47,821","00:17:49,121","Dimana anakmu bertugas?"
"182","cue","00:17:49,957","00:17:51,357","Menuju ke kanal."
"183","cue","00:17:51,490","00:17:53,827","Dia seorang pengemudi tankdengan Divisi Bren."
"184","cue","00:18:02,870","00:18:04,672","- Katakan itu omong kosong.- Kamu tidak bisa."
"185","cue","00:18:04,807","00:18:08,208","Anda tidak bisa terus-menerus memindahkan uangdari satu akun ke akun lainnya."
"186","cue","00:18:08,342","00:18:10,611","Tidak ada uangnyauntuk mendanai perang."
"187","cue","00:18:21,956","00:18:23,391","Dado?"
"188","cue","00:18:23,525","00:18:26,995","Pukul 10.00 kami mulaimemobilisasi 120.000 tentara,"
"189","cue","00:18:27,127","00:18:28,729","termasuk dua Brigade lapis baja."
"190","cue","00:18:28,862","00:18:31,032","Beberapa menit yang lalu,orang-orang Suriah mulai bergerak"
"191","cue","00:18:31,164","00:18:32,684","melepas jaring kamuflasedari senjata mereka."
"192","cue","00:18:35,436","00:18:38,706","Di kanal, orang Mesirsedang membendung saluran"
"193","cue","00:18:38,840","00:18:42,043","melalui penghalang pasir merekadalam persiapan untuk menyeberang."
"194","cue","00:18:44,579","00:18:47,015","- Kapan serangannya akan dimulai?- Menjelang matahari terbenam."
"195","cue","00:18:47,147","00:18:48,515","Ini informasi terbaik kami."
"196","cue","00:18:48,650","00:18:50,885","Sepertinya mungkinkita terkejut."
"197","cue","00:18:51,019","00:18:53,889","Jadi bagaimana caranyahal ini terjadi Zeira, hah ?"
"198","cue","00:18:54,023","00:18:55,423","Kami memberi Anda $100 juta"
"199","cue","00:18:55,556","00:18:58,393","untuk sistem penyadapan sialanmu."
"200","cue","00:18:58,527","00:18:59,862","Dan Anda berjanji kepada kami"
"201","cue","00:18:59,995","00:19:03,032","pemberitahuan 72 jam sebelumnyajika terjadi serangan."
"202","cue","00:19:03,164","00:19:06,166","Ini bukan pengadilan penyelidikan."
"203","cue","00:19:06,299","00:19:07,802","Dan tolong jaga bahasa Anda."
"204","cue","00:19:21,116","00:19:22,316","Empat jam lebih awal."
"205","cue","00:19:26,055","00:19:28,657","Orang Mesirsedang menembaki kanal."
"206","cue","00:19:28,791","00:19:30,458","Jet Suriah mengebom Golan."
"207","cue","00:19:33,227","00:19:34,395","Orang Mesir telah menembak"
"208","cue","00:19:34,530","00:19:36,800","rudal jelajah Keltke Tel Aviv."
"209","cue","00:19:36,933","00:19:39,101","Saya tidak akan bersembunyidi bawah meja,"
"210","cue","00:19:39,233","00:19:41,036","tapi jangan biarkan aku menghentikanmu."
"211","cue","00:19:41,170","00:19:44,338","Anda semua punya rencana.Kembalilah ke tugas Anda"
"212","cue","00:19:44,472","00:19:46,775","dan mengerjakannya dengan tepat."
"213","cue","00:19:46,909","00:19:48,611","Terima kasih, Bapak - bapak."
"214","cue","00:19:51,680","00:19:54,617","Moshe,kami menaruh kepercayaan padamu."
"215","cue","00:19:56,317","00:19:59,321","Orang Suriah adalahancaman langsung."
"216","cue","00:19:59,455","00:20:01,456","Aku akan pergi ke utaradan memberi perintah."
"217","cue","00:20:01,590","00:20:04,894","Munculah di televisi dulu.Yakinkan masyarakat."
"218","cue","00:20:08,965","00:20:12,334","Lalu ajari musuh kitapelajaran yang tidak akan pernah mereka lupakan."
"219","cue","00:20:12,468","00:20:13,837","Kita akan menghancurkan tulang mereka."
"220","cue","00:20:13,971","00:20:17,006","Kita akan merontokannyakeping demi keping."
"221","cue","00:20:25,247","00:20:27,250","Hubungi Kissinger di telepon."
"222","cue","00:20:27,421","00:20:30,548","Juru bicara IDFtelah memberi tahu kami"
"223","cue","00:20:30,674","00:20:32,445","pasukan Suriah sedang menyerang di utara."
"224","cue","00:20:32,469","00:20:34,719","Bangsa Mesir semakin majudi Gurun Sinai,"
"225","cue","00:20:34,844","00:20:37,347","di selatan,dan membom pasukan kita."
"226","cue","00:20:37,472","00:20:40,976","Jika Suriah menang diDataran Tinggi Golan,"
"227","cue","00:20:41,101","00:20:44,146","Israel akan menjadi rentanuntuk di invasi besar-besaran."
"228","cue","00:20:52,609","00:20:54,410","Sekretaris Kissinger di saluran satu."
"229","cue","00:21:03,721","00:21:05,189","<i>Tolong tunggu sebentar.Dia mengangkatnya.</i>"
"230","cue","00:21:13,429","00:21:14,731","Halo?"
"231","cue","00:21:14,864","00:21:16,901","- Pak Menlu.<i>- Nyonya Perdana Menteri.</i>"
"232","cue","00:21:17,034","00:21:20,604","- Maaf membangunkanmu, Henry.<i>- Tidak sama sekali.</i>"
"233","cue","00:21:21,505","00:21:23,974","Kami mendapat masalahdengan tetangga lagi."
"234","cue","00:21:24,108","00:21:25,943","Saya turut prihatin mendengarnya."
"235","cue","00:21:26,076","00:21:28,712","Eh, bolehkah aku bertanyasiapa yang melepaskan tembakan pertama?"
"236","cue","00:21:28,846","00:21:32,183","Serangan pertama akan membuatsegalanya menjadi lebih mudah bagi kita,"
"237","cue","00:21:32,315","00:21:34,151","tapi saya memberitahu Presidenperkataan saya."
"238","cue","00:21:34,285","00:21:37,956","- Saya menghargai itu.<i>- Kami terkejut, Henry.</i>"
"239","cue","00:21:38,089","00:21:40,859","Dan kali ini,ini tidak akan berakhir dalam seminggu."
"240","cue","00:21:40,992","00:21:43,027","Saya akan mulai dengan memberikantekanan diplomatik."
"241","cue","00:21:43,160","00:21:45,964","<i>Tolong lakukan.Namun jelaskan satu hal.</i>"
"242","cue","00:21:46,097","00:21:49,534","Kami akan terus berjuangsampai setiap tentara Mesir"
"243","cue","00:21:49,668","00:21:52,236","telah dipukul mundur kembalimelintasi kanal."
"244","cue","00:21:52,368","00:21:54,539","Mereka tidak akan mendapatkan apa pun dengan paksaan."
"245","cue","00:21:54,673","00:21:56,107","Jika mereka ingin tanahnya kembali,"
"246","cue","00:21:56,241","00:21:59,410","mereka harus mengakuinegara berdaulat Israel."
"247","cue","00:21:59,911","00:22:00,912","Saya mengerti."
"248","cue","00:22:01,046","00:22:03,582","- Terima kasih, Henry.<i>- Semoga berhasil, Golda.</i>"
"249","cue","00:22:06,918","00:22:08,385","Mereka akan membantu kita, bukan?"
"250","cue","00:22:08,519","00:22:10,788","Jika mereka tertangkapmengirimi kita satu peluru,"
"251","cue","00:22:10,921","00:22:13,725","Saudi akan melakukannyaembargo minyak mereka."
"252","cue","00:22:13,859","00:22:16,963","- Dia ingin kita menang.- Tapi dengan hidung berdarah."
"253","cue","00:22:17,096","00:22:19,898","Dengan begitu, orang Mesirakan melihatnya sebagai teman"
"254","cue","00:22:20,031","00:22:21,465","dan mereka akan meninggalkan Soviet"
"255","cue","00:22:21,600","00:22:23,303","yang berisi orang Rusia,"
"256","cue","00:22:23,434","00:22:25,637","hanya itu yang dia pedulikan."
"257","cue","00:22:27,639","00:22:29,074","<i>Tank musuh</i>"
"258","cue","00:22:29,207","00:22:33,511","<i>menembus garis pertahanan kitadan menduduki beberapa pos terdepan.</i>"
"259","cue","00:22:35,915","00:22:40,987","<i>Kita menderita kekalahandengan korban jiwa dan wilayah.</i>"
"260","cue","00:22:41,120","00:22:42,954","<i>Itu memang benar.</i>"
"261","cue","00:22:43,088","00:22:45,457","Apa yang salah dengan dia?"
"262","cue","00:22:45,591","00:22:48,293","<i>Kurang lebihnyaseperti yang kami harapkan</i>"
"263","cue","00:22:48,425","00:22:50,162","<i>hari pertama pertempuran.</i>"
"264","cue","00:22:51,898","00:22:55,902","<i>Aku tidak bisa, dan tidak akan,berikan angka pastinya.</i>"
"265","cue","00:22:56,035","00:22:58,004","- Panggilkan aku Medzini.<i>- Yang bisa kukatakan...</i>"
"266","cue","00:22:58,137","00:22:59,572","Saya akan berpidato."
"267","cue","00:22:59,705","00:23:04,043","<i>Apakah pertempuranakan berakhir dengan kemenangan.</i>"
"268","cue","00:23:05,810","00:23:06,979","<i>Tuhan tolong kita semua.</i>"
"269","cue","00:23:18,258","00:23:19,892","Kami terbang melewati kanalsatu jam yang lalu."
"270","cue","00:23:20,026","00:23:23,095","Orang Mesir punyasepuluh jembatan operasional."
"271","cue","00:23:23,229","00:23:24,462","Dua Divisi telah melewati"
"272","cue","00:23:24,597","00:23:26,532","dan sedang bertahandi Tepi Timur."
"273","cue","00:23:26,666","00:23:28,034","Dan Golan?"
"274","cue","00:23:28,167","00:23:31,805","Tank-tank Suriah semakin majudalam jumlah ribuan."
"275","cue","00:23:31,939","00:23:37,442","Kami berusaha semaksimal mungkin,tapi ini sangat, sangat serius."
"276","cue","00:23:40,080","00:23:41,081","Moshe."
"277","cue","00:23:43,549","00:23:44,750","Bagaimana tadi?"
"278","cue","00:23:45,152","00:23:46,853","Bagus. Bagus."
"279","cue","00:23:47,654","00:23:48,989","Apakah kamu baik-baik saja?"
"280","cue","00:23:49,790","00:23:51,792","Ya. Tentu saja."
"281","cue","00:23:53,293","00:23:56,997","Pergi ke Golan. Lihat apaterjadi, laporkan kembali."
"282","cue","00:23:58,497","00:23:59,599","- Pergi.- Ya."
